Continent,Country,ClusterCode,PlotCode,PlotViewID,Census.Int,PlotID,Plot.Name,Plot.View.Name,N_plots,PlotArea,Lat,Lon,Alt,rec.rate,mort.rate,N_ini.ha,N_int.ha,N_fin.ha,N_rec.ha.yr,N_mor.ha.yr,N_change.ha.yr,BA_ini.ha,BA_int.ha,BA_fin.ha,BA_gainrec.ha.yr,BA_gainsurv.ha.yr,BA_mor.ha.yr,BA_gain.ha.yr,BA_netchange.ha.yr,AGB_ini.ha,AGB_int.ha,AGB_fin.ha,AGB_mort_act.ha.yr,AGB_gain_rec.ha.yr,AGB_gain_surv.ha.yr,AGB_mort_unobs.ha.yr,AGB_rec_unobs.ha.yr,AGBGain_tot.ha.yr,AGBMor_tot.ha.yr,AGBnetchange.ha.yr,WD_mean_ini,WD_mean_int,WD_mean_fin,WD_change.yr,WD_ba_ini,WD_ba_int,WD_ba_fin,H_mean_ini,H_mean_int,H_mean_fin,H_change.yr,mean_growth.mm.yr,neg_growth.trees.ha,neg_growth.pc.trees,int_ini,int_fin,mid_int_date,int_c_length,AGBnetchange_rel,AGBGain_rel,AGBMor_rel,AGBnetchange_N,AGBGain_N,AGBMor_N,CRT,tot_monitor_length,AGBnetchange_change,AGBGain_change,AGBMor_change,merged
africa,CAMEROON,DJA,DJA-05,132,1,1270,Dja L5 Mekas,Main Plot View,1,1,3.1525,12.572778,640,0.010887298,0.010070751,476,477.5,479,5.182354084,4.793677528,0.388676556,27.54378321,29.00746615,30.47114909,0.0514027,0.485489319,0.157625855,0.536892018,0.379266163,309.9859679,328.9418785,347.8977891,1.452947772,0.319657896,6.045101915,0.094706869,0.010355223,6.469821904,1.558009864,4.91181204,0.613088235,0.613819311,0.614550388,0.000189435,0.595799671,0.595836318,0.595872964,28.54004777,28.81630995,29.09257214,0.071584423,2.324647504,22,4.607329843,1994.501,2002.2195,1998.36025,7.7185,1.58452722,2.087133797,0.502606577,0.010286517,0.013770164,0.039268859,47.91259675,15.0905,NA,NA,NA,no
africa,CAMEROON,DJA,DJA-05,132,2,1270,Dja L5 Mekas,Main Plot View,1,1,3.1525,12.572778,640,0.014725922,0.008778915,479,489,499,7.053716766,4.20510038,2.712967987,30.47114909,31.38204682,32.29294454,0.07438313,0.49261479,0.319874283,0.566997919,0.247123636,347.8977891,357.6692972,367.4408052,4.162824316,0.472069154,6.341734009,0.195482391,0.008114913,7.017400467,4.36642162,2.650978847,0.614550388,0.616722463,0.618894539,0.000589277,0.595872964,0.594642891,0.593412818,29.09257214,29.14335437,29.19413661,0.013777058,2.257055542,21,4.294478528,2002.2195,2009.5915,2005.9055,7.372,0.761999337,2.017086824,1.255087487,0.005421225,0.014187324,0.134284655,49.57644797,15.0905,-0.299636618,0.07257262,0.372209238,no
africa,CAMEROON,DJA,DJA-07,133,1,1271,Dja L7 Alat-Makay,Main Plot View,1,0.5,2.89221,13.34132,580,0.011346426,0.013319718,606,602,598,6.87593423,8.071748879,-1.195814649,27.39944745,27.85413644,28.30882543,0.07761941,0.42151345,0.363201922,0.49913286,0.135930938,306.5652462,313.2074279,319.8496095,3.662065226,0.44708325,5.200686506,0.130008086,0.012985912,5.790763753,3.805059224,1.985704529,0.652435644,0.651973957,0.65151227,-0.000138023,0.641973254,0.642618885,0.643264517,26.20918675,26.31500145,26.42081615,0.031633691,1.735231039,30,4.983388704,1995.51,2002.2,1998.855,6.69,0.647726562,1.888917229,1.241190667,0.003298513,0.009421534,0.067816023,52.94038218,14.1105,NA,NA,NA,no
africa,CAMEROON,DJA,DJA-07,133,2,1271,Dja L7 Alat-Makay,Main Plot View,1,0.5,2.89221,13.34132,580,0.01397196,0.008112751,598,611,624,8.355232127,4.851425106,3.503807021,28.30882543,30.20727416,32.10572289,0.082243005,0.548284865,0.118851101,0.63052787,0.511676769,319.8496095,343.229581,366.6095524,0.948294915,0.489253678,6.760495699,0.042463704,0.011701103,7.303914184,1.002459722,6.301454462,0.65151227,0.650392499,0.649272727,-0.000301805,0.643264517,0.639992586,0.636720655,26.42081615,26.83262742,27.24443869,0.110992863,1.992172785,18,2.94599018,2002.2,2009.6205,2005.91025,7.4205,1.970130422,2.283546381,0.313415959,0.010313346,0.012029352,0.026341525,43.79153444,14.1105,0.611707584,0.214471554,-0.39723603,no
africa,CAMEROON,DJA,DJA-09,134,1,1272,Dja L9 Djomedjoh,Main Plot View,1,1,3.084333,13.582389,660,0.019648373,0.009824186,538,555.5,573,10.57082452,5.285412262,5.285412262,35.19156484,35.41551602,35.63946721,0.099827404,0.468795055,0.500983926,0.568622459,0.067638533,449.8952597,450.4350322,450.9748046,7.11948788,0.668534681,6.613977193,0.213232148,0.01576911,7.511513133,7.348489138,0.163023995,0.667360595,0.668780626,0.670200658,0.000428883,0.669542745,0.669289717,0.669036689,28.85402967,28.71835793,28.5826862,-0.04097606,2.163493402,36,6.480648065,1995.559,2002.181,1998.87,6.622,0.036235989,1.669613753,1.633377765,0.000293473,0.01314906,0.203413939,59.89409215,13.9585,NA,NA,NA,no
africa,CAMEROON,DJA,DJA-09,134,2,1272,Dja L9 Djomedjoh,Main Plot View,1,1,3.084333,13.582389,660,0.010942443,0.01165608,573,570,567,6.270019764,6.678934097,-0.817828665,35.63946721,36.06835115,36.4972351,0.0678775,0.512560059,0.463519697,0.580437558,0.116917862,450.9748046,454.7365547,458.4983048,6.398547376,0.408446372,7.015590029,0.211445337,0.014188919,7.649670657,6.624181632,1.025489025,0.670200658,0.669629408,0.669058158,-0.000155728,0.669036689,0.666407872,0.663779055,28.5826862,28.6344892,28.68629219,0.014121992,2.068162874,17,2.98245614,2002.181,2009.5175,2005.84925,7.3365,0.227393862,1.696252336,1.468858474,0.001799104,0.013465624,0.1305826,58.95349288,13.9585,0.123575603,0.019795469,-0.103780135,no
africa,CAMEROON,CAM,CAM-02,136,1,1274,Campo Ma'an 2,Main Plot View,1,1,2.3128995,9.916523943,38,0.003273691,0.012159425,421,411.5,402,1.37822406,5.119117937,-3.740893877,27.20729194,27.92983626,28.65238058,0.011371495,0.509866756,0.236715976,0.521238251,0.284522276,352.6297188,366.5930213,380.5563238,2.608589419,0.077953057,8.029081918,0.083054889,0.00346701,8.193556873,2.695111317,5.498445556,0.67463658,0.675221327,0.675806075,0.000230261,0.671521859,0.671351894,0.67118193,29.23918721,29.677112,30.11503679,0.17244528,2.050637896,21,5.10328068,1997.211,2002.29,1999.7505,5.079,1.559268905,2.323558236,0.764289331,0.013361958,0.02032679,0.100330362,43.0374408,15.163,NA,NA,NA,no
africa,CAMEROON,CAM,CAM-02,136,2,1274,Campo Ma'an 2,Main Plot View,1,1,2.3128995,9.916523943,38,0.008880627,0.011100783,402,397.5,393,3.5700119,4.462514875,-0.892502975,28.65238058,28.48483591,28.31729123,0.038135349,0.276954571,0.348319724,0.31508992,-0.033229804,380.5563238,378.9177389,377.279154,4.750818988,0.244487286,4.181344609,0.295494276,0.007907869,4.72923404,5.054221133,-0.324987092,0.675806075,0.675853951,0.675901826,9.50E-06,0.67118193,0.668093769,0.665005609,30.11503679,30.38047814,30.64591949,0.052646044,1.208337361,40,10.06289308,2002.29,2012.374,2007.332,10.084,-0.085397896,1.242715925,1.328113821,-0.000817578,0.01171245,0.105573755,80.46891327,15.163,-0.768110882,-0.45694425,0.311166631,no
africa,CAMEROON,EJA,EJA-04,137,1,1275,"Edjagham, plot 4",Main Plot View,1,1,5.746020833,8.988770833,142,0.008424908,0.00989011,546,544,542,4.6,5.4,-0.8,31.08981351,30.48482798,29.87984245,0.04918823,0.340297002,0.631479444,0.389485232,-0.241994212,421.8295076,408.3807766,394.9320456,10.49542828,0.298430344,4.81750554,0.18742316,0.003297777,5.306656822,10.68614922,-5.379492398,0.735067766,0.733074305,0.731080844,-0.000797384,0.708491255,0.705727373,0.702963491,29.54903971,29.27856138,29.00808305,-0.108191332,1.648554913,11,2.022058824,1997.29,2002.29,1999.79,5,-1.275276457,1.258009866,2.533286322,-0.009888773,0.009282284,0.388719566,79.49063258,14.017,NA,NA,NA,no
africa,CAMEROON,EJA,EJA-04,137,2,1275,"Edjagham, plot 4",Main Plot View,1,1,5.746020833,8.988770833,142,0.006138467,0.006547698,542,541,540,3.327048908,3.548852168,-0.221803261,29.87984245,30.05699372,30.23414499,0.032597377,0.310023665,0.303328314,0.342621043,0.039292729,394.9320456,398.7527495,402.5734533,3.838719628,0.216311322,4.469852873,0.121865961,0.006692817,4.814722973,3.967278406,0.847444567,0.731080844,0.730146191,0.729211538,-0.000207309,0.702963491,0.708084317,0.713205144,29.00808305,28.8226887,28.63729436,-0.04112107,1.454576196,55,10.1663586,2002.29,2011.307,2006.7985,9.017,0.214579844,1.219126942,1.004547099,0.001566441,0.008764417,0.119959988,82.02591258,14.017,0.888483551,-0.070191032,-0.958674583,no
